Command,ChannelIndex,Reserved1,Frequency,Reserved2,Reserved3,Delay,Lockout,Priority
CIN,126,,00000000,AUTO,0,2,1,0
CIN,127,,00000000,AUTO,0,2,1,0
CIN,128,,00000000,AUTO,0,2,1,0
CIN,129,,00000000,AUTO,0,2,1,0
CIN,130,,01548750,AUTO,0,2,0,0
CIN,131,,00000000,AUTO,0,2,1,0
CIN,132,,00000000,AUTO,0,2,1,0
CIN,133,,00000000,AUTO,0,2,1,0
CIN,134,,00000000,AUTO,0,2,1,0
CIN,135,,00000000,AUTO,0,2,1,0
CIN,136,,00000000,AUTO,0,2,1,0
CIN,137,,00000000,AUTO,0,2,1,0
CIN,138,,00000000,AUTO,0,2,1,0
CIN,139,,00000000,AUTO,0,2,1,0
CIN,140,,00000000,AUTO,0,2,1,0
CIN,141,,00000000,AUTO,0,2,1,0
CIN,142,,00000000,AUTO,0,2,1,0
CIN,143,,00000000,AUTO,0,2,1,0
CIN,144,,00000000,AUTO,0,2,1,0
CIN,145,,00000000,AUTO,0,2,1,0
CIN,146,,00000000,AUTO,0,2,1,0
CIN,147,,00000000,AUTO,0,2,1,0
CIN,148,,00000000,AUTO,0,2,1,0
CIN,149,,00000000,AUTO,0,2,1,0
CIN,150,,00000000,AUTO,0,2,1,0
CIN,151,,00000000,AUTO,0,2,1,0
CIN,152,,00000000,AUTO,0,2,1,0
CIN,153,,00000000,AUTO,0,2,1,0
CIN,154,,00000000,AUTO,0,2,1,0
CIN,155,,00000000,AUTO,0,2,1,0
CIN,156,,00000000,AUTO,0,2,1,0
CIN,157,,00000000,AUTO,0,2,1,0
CIN,158,,00000000,AUTO,0,2,1,0
CIN,159,,00000000,AUTO,0,2,1,0
CIN,160,,00000000,AUTO,0,2,1,0
CIN,161,,00000000,AUTO,0,2,1,0
CIN,162,,00000000,AUTO,0,2,1,0
CIN,163,,00000000,AUTO,0,2,1,0
CIN,164,,00000000,AUTO,0,2,1,0
CIN,165,,00000000,AUTO,0,2,1,0
CIN,166,,00000000,AUTO,0,2,1,0
CIN,167,,00000000,AUTO,0,2,1,0
CIN,168,,00000000,AUTO,0,2,1,0
CIN,169,,00000000,AUTO,0,2,1,0
CIN,170,,00000000,AUTO,0,2,1,0
CIN,171,,00000000,AUTO,0,2,1,0
CIN,172,,00000000,AUTO,0,2,1,0
CIN,173,,00000000,AUTO,0,2,1,0
CIN,174,,00000000,AUTO,0,2,1,0
CIN,175,,00000000,AUTO,0,2,1,0
CIN,176,,00000000,AUTO,0,2,1,0
CIN,177,,00000000,AUTO,0,2,1,0
CIN,178,,00000000,AUTO,0,2,1,0
CIN,179,,00000000,AUTO,0,2,1,0
CIN,180,,00000000,AUTO,0,2,1,0
CIN,181,,00000000,AUTO,0,2,1,0
CIN,182,,00000000,AUTO,0,2,1,0
CIN,183,,00000000,AUTO,0,2,1,0
CIN,184,,00000000,AUTO,0,2,1,0
CIN,185,,00000000,AUTO,0,2,1,0
CIN,186,,00000000,AUTO,0,2,1,0
CIN,187,,00000000,AUTO,0,2,1,0
CIN,188,,00000000,AUTO,0,2,1,0
CIN,189,,00000000,AUTO,0,2,1,0
CIN,190,,00000000,AUTO,0,2,1,0
CIN,191,,00000000,AUTO,0,2,1,0
CIN,192,,00000000,AUTO,0,2,1,0
CIN,193,,00000000,AUTO,0,2,1,0
CIN,194,,00000000,AUTO,0,2,1,0
CIN,195,,00000000,AUTO,0,2,1,0
CIN,196,,00000000,AUTO,0,2,1,0
CIN,197,,00000000,AUTO,0,2,1,0
CIN,198,,00000000,AUTO,0,2,1,0
CIN,199,,00000000,AUTO,0,2,1,0
CIN,200,,00000000,AUTO,0,2,1,0
